"PFE","UNH","JNJ","AZN","SYK","CVS","LLY","Dates","date"
9.775363,26.700302,15.418659,39.45311,22.130701,40.929665,24.233807,"2010-08-17",2010-08-17
9.673225,26.857122,15.317266,39.596779,22.260965,41.019512,24.25473,"2010-08-18",2010-08-18
9.631169,26.238108,15.144286,38.751766,21.854834,40.584095,23.906048,"2010-08-19",2010-08-19
9.565077,26.089542,15.06973,38.709526,21.448692,40.597916,23.829329,"2010-08-20",2010-08-20
9.673225,25.998751,15.194988,38.988361,21.816515,40.687778,23.926966,"2010-08-23",2010-08-23
9.504998,25.619095,14.843073,36.504078,21.402721,40.093391,23.689857,"2010-08-24",2010-08-24
9.607136,26.378422,14.944472,36.436474,21.479347,40.072647,23.926966,"2010-08-25",2010-08-25
9.553064,26.287632,14.849037,36.233673,21.272444,39.948257,23.675907,"2010-08-26",2010-08-26
9.667218,26.716816,14.980261,37.18008,21.08087,40.185452,23.850254,"2010-08-27",2010-08-27
9.529026,26.337156,14.807287,36.799812,21.011902,39.976166,23.689857,"2010-08-30",2010-08-30
9.559069,26.18034,14.741674,36.495605,20.674734,39.780807,23.424854,"2010-08-31",2010-08-31
9.781373,26.898394,15.057799,37.720879,21.441029,40.666843,23.850254,"2010-09-01",2010-09-01
9.853475,27.121239,15.072713,38.633476,21.693909,40.890102,23.926966,"2010-09-02",2010-09-02
9.889522,27.987865,15.281477,38.946129,21.97744,41.113342,24.171045,"2010-09-03",2010-09-03
9.811413,27.880569,15.212882,38.853172,21.594286,40.952888,24.087362,"2010-09-07",2010-09-07
9.949601,27.938343,15.293406,38.430695,21.831846,41.057529,24.275648,"2010-09-08",2010-09-08
10.075777,28.078653,15.338138,38.971478,22.03108,41.734268,24.526707,"2010-09-09",2010-09-09
10.207957,28.57155,15.442523,39.436226,22.23798,41.845898,24.708033,"2010-09-10",2010-09-10
10.195942,28.762089,15.460415,39.968578,22.398907,42.083096,24.777758,"2010-09-13",2010-09-13
10.262028,28.670961,15.651285,40.898079,22.42956,42.264484,24.861454,"2010-09-14",2010-09-14
10.376185,28.389311,15.627428,41.143139,22.552158,42.592396,24.896322,"2010-09-15",2010-09-15
10.316105,28.364458,15.639358,41.185375,22.590483,42.75983,24.875391,"2010-09-16",2010-09-16
10.250014,28.273336,15.523046,40.585415,22.858685,42.955173,24.959082,"2010-09-17",2010-09-17
10.382195,28.93606,15.594621,41.185375,23.218843,43.317959,25.349607,"2010-09-20",2010-09-20
10.298082,29.209423,15.612514,40.991016,23.019606,43.213314,25.335669,"2010-09-21",2010-09-21
10.346147,29.557348,15.61848,40.576977,23.057917,43.234245,25.140392,"2010-09-22",2010-09-22
10.237997,29.358538,15.421647,40.500931,22.912323,43.122616,25.007891,"2010-09-23",2010-09-23
10.454294,29.598774,15.713912,41.996578,23.76292,43.352848,25.175272,"2010-09-24",2010-09-24
10.316105,29.283979,15.520063,41.531834,23.456396,43.276093,25.063684,"2010-09-27",2010-09-27
10.472322,29.027172,15.514094,42.472645,24.100096,43.555168,25.377497,"2010-09-28",2010-09-28
10.454294,29.159714,15.275509,42.582836,23.977474,43.471451,25.47514,"2010-09-29",2010-09-29
10.316105,29.085159,15.120431,42.421791,24.115416,43.227264,25.47514,"2010-09-30",2010-09-30
10.322108,29.350252,15.206916,42.387886,24.352962,43.08075,25.482109,"2010-10-01",2010-10-01
