OverallStatus,AdverseEffectsorDeath,DurationDays,EnrollmentCount,ArmNumber
Terminated,0.13043478260869565,974.0,23.0,1
Terminated,0.6333333333333333,668.0,30.0,2
Terminated,0.6666666666666666,184.0,6.0,2
Terminated,0.0,368.0,1.0,3
Terminated,0.0,1796.0,25.0,2
Terminated,0.31122339281874867,1778.0,9302.0,2
Terminated,0.058823529411764705,556.0,17.0,3
Terminated,0.0,578.0,76.0,2
Terminated,0.0,92.0,36.0,3
Terminated,0.0,884.0,33.0,2
Terminated,0.4117647058823529,1505.0,51.0,2
Terminated,0.4,487.0,15.0,2
Terminated,1.0,2661.0,2.0,9
Terminated,0.0,640.0,87.0,3
Terminated,0.2857142857142857,456.0,7.0,5
Terminated,0.0,823.0,7.0,1
Terminated,0.23943661971830985,1446.0,71.0,9
Terminated,0.0625,433.0,16.0,2
Terminated,0.0,1129.0,2.0,4
Terminated,0.20652173913043478,785.0,92.0,3
Terminated,0.0,639.0,3.0,7
Terminated,0.28703703703703703,912.0,108.0,3
Terminated,0.035211267605633804,878.0,142.0,2
Terminated,0.0,237.0,7.0,2
Terminated,0.020618556701030927,719.0,97.0,2
Terminated,0.8333333333333334,761.0,6.0,1
Terminated,0.32,975.0,25.0,2
Terminated,0.3953488372093023,1673.0,43.0,5
Terminated,0.0,1096.0,53.0,1
Terminated,0.0,176.0,13.0,1
Terminated,0.103397341211226,1916.0,1354.0,3
Terminated,1.032258064516129,696.0,155.0,2
Terminated,0.30578512396694213,1228.0,121.0,5
Terminated,0.2857142857142857,470.0,14.0,2
Terminated,0.0,42.0,295.0,1
Terminated,0.0,1613.0,64.0,2
Terminated,0.0425531914893617,1491.0,47.0,7
Terminated,0.10869565217391304,243.0,46.0,5
Terminated,0.0,804.0,17.0,1
Terminated,0.3333333333333333,640.0,3.0,1
Terminated,0.0,335.0,10.0,1
Terminated,0.004282655246252677,705.0,467.0,2
Terminated,0.0,304.0,58.0,1
Terminated,0.0,1247.0,121.0,2
Terminated,0.0007251631617113851,517.0,2758.0,1
Terminated,0.0,779.0,156.0,2
Terminated,0.0045662100456621,777.0,219.0,3
Terminated,0.07035238451002365,1339.0,8031.0,2
Terminated,0.0,881.0,5.0,1
Terminated,0.09090909090909091,214.0,11.0,2
Terminated,0.0,85.0,16.0,3
Terminated,0.0,273.0,136.0,2
Terminated,0.0,540.0,46.0,2
Terminated,0.0,207.0,3.0,1
Terminated,0.0,84.0,2.0,2
Terminated,0.0,342.0,11.0,2
Terminated,0.017857142857142856,518.0,224.0,2
Terminated,0.3076923076923077,2158.0,13.0,1
Terminated,0.4634146341463415,1157.0,41.0,2
Terminated,0.42857142857142855,791.0,21.0,2
Terminated,0.36363636363636365,118.0,22.0,3
Terminated,0.11764705882352941,335.0,17.0,1
Terminated,0.015437392795883362,458.0,583.0,3
Terminated,0.0,760.0,7.0,1
Terminated,0.0,945.0,72.0,2
Terminated,0.8,2127.0,20.0,3
Terminated,1.0,742.0,12.0,2
Terminated,0.75,1673.0,20.0,13
Terminated,0.0,850.0,3.0,2
Terminated,0.0,6966.0,2.0,3
Terminated,0.0,1674.0,25.0,4
Terminated,0.0,404.0,1.0,1
