,AZN,Dates
481,40.035011,2011-11-29
482,41.932846,2011-11-30
483,42.533974,2011-12-01
484,40.893764,2011-12-02
485,42.156116,2011-12-05
486,41.67524,2011-12-06
487,41.45195,2011-12-07
488,40.464382,2011-12-08
489,41.091278,2011-12-09
490,40.421444,2011-12-12
491,40.232517,2011-12-13
492,40.163811,2011-12-14
493,40.043598,2011-12-15
494,39.682915,2011-12-16
495,39.313641,2011-12-19
496,41.013977,2011-12-20
497,41.735329,2011-12-21
498,42.69714,2011-12-22
499,42.946171,2011-12-23
500,42.991867,2011-12-27
501,42.526173,2011-12-28
502,42.767654,2011-12-29
503,42.871136,2011-12-30
504,44.044037,2012-01-03
505,44.19928,2012-01-04
506,44.14753,2012-01-05
507,44.414886,2012-01-06
508,44.673611,2012-01-09
509,45.070324,2012-01-10
510,45.725765,2012-01-11
511,45.268681,2012-01-12
512,44.613255,2012-01-13
513,44.854725,2012-01-17
514,44.99271,2012-01-18
515,45.536045,2012-01-19
516,45.829258,2012-01-20
517,45.536045,2012-01-23
518,45.656784,2012-01-24
519,47.485119,2012-01-25
520,47.321259,2012-01-26
521,47.347122,2012-01-27
522,47.450611,2012-01-30
523,47.804214,2012-01-31
524,47.623112,2012-02-01
525,47.433376,2012-02-02
526,47.959457,2012-02-03
527,48.0112,2012-02-06
528,47.588612,2012-02-07
529,47.217766,2012-02-08
530,46.536457,2012-02-09
531,46.174229,2012-02-10
532,46.458843,2012-02-13
533,46.156975,2012-02-14
534,46.208729,2012-02-15
535,46.269108,2012-02-16
536,46.225967,2012-02-17
537,45.993118,2012-02-21
538,46.087994,2012-02-22
539,46.501949,2012-02-23
540,47.243637,2012-02-24
541,47.398869,2012-02-27
542,47.053917,2012-02-28
543,46.260483,2012-02-29
544,45.829258,2012-03-01
545,45.889637,2012-03-02
546,45.536045,2012-03-05
547,44.871971,2012-03-06
548,44.889202,2012-03-07
549,45.510162,2012-03-08
550,45.622276,2012-03-09
551,45.191063,2012-03-12
552,45.993118,2012-03-13
553,46.769299,2012-03-14
554,47.433376,2012-03-15
555,47.347122,2012-03-16
556,47.390255,2012-03-19
557,47.278137,2012-03-20
558,47.304016,2012-03-21
559,46.760685,2012-03-22
560,46.950413,2012-03-23
561,47.873207,2012-03-26
562,47.726593,2012-03-27
563,47.659927,2012-03-28
564,47.685913,2012-03-29
565,48.032211,2012-03-30
566,48.092804,2012-04-02
567,48.118778,2012-04-03
568,47.417522,2012-04-04
569,47.642616,2012-04-05
570,46.880749,2012-04-09
571,45.980366,2012-04-10
572,46.603718,2012-04-11
573,47.49543,2012-04-12
574,46.716259,2012-04-13
575,46.958675,2012-04-16
576,47.521423,2012-04-17
577,48.014893,2012-04-18
578,47.062557,2012-04-19
579,46.690296,2012-04-20
580,45.625408,2012-04-23
581,46.023659,2012-04-24
582,46.473839,2012-04-25
583,46.80283,2012-04-26
584,47.235718,2012-04-27
585,47.244358,2012-04-30
586,47.504082,2012-05-01
587,47.322289,2012-05-02
588,47.408859,2012-05-03
589,46.63834,2012-05-04
590,46.854778,2012-05-07
591,46.880749,2012-05-08
592,46.101574,2012-05-09
593,46.205471,2012-05-10
594,46.04097,2012-05-11
595,45.573448,2012-05-14
596,45.010715,2012-05-15
597,44.785625,2012-05-16
598,44.136303,2012-05-17
599,43.512955,2012-05-18
600,44.525898,2012-05-21
601,44.776962,2012-05-22
602,44.396027,2012-05-23
603,44.776962,2012-05-24
604,44.889515,2012-05-25
605,45.53017,2012-05-29
606,44.629791,2012-05-30
607,44.543209,2012-05-31
608,43.296516,2012-06-01
609,43.149342,2012-06-04
610,43.971806,2012-06-05
611,44.370064,2012-06-06
612,44.3181,2012-06-07
613,44.422009,2012-06-08
614,44.508568,2012-06-11
615,44.828915,2012-06-12
616,44.577843,2012-06-13
617,45.313728,2012-06-14
618,46.880749,2012-06-15
619,47.244358,2012-06-18
620,47.781128,2012-06-19
621,47.530067,2012-06-20
622,46.534462,2012-06-21
623,47.244358,2012-06-22
624,46.499825,2012-06-25
625,46.595055,2012-06-26
626,47.223484,2012-06-27
627,46.75412,2012-06-28
628,47.892754,2012-06-29
629,47.519012,2012-07-02
630,47.527691,2012-07-03
631,47.119179,2012-07-05
632,46.536816,2012-07-06
633,46.649811,2012-07-09
634,46.119602,2012-07-10
635,46.119602,2012-07-11
636,45.824078,2012-07-12
637,46.110905,2012-07-13
638,45.980526,2012-07-16
639,46.693279,2012-07-17
640,46.562897,2012-07-18
641,45.319939,2012-07-19
642,44.659359,2012-07-20
643,44.111736,2012-07-23
644,44.111736,2012-07-24
645,44.563732,2012-07-25
646,44.589813,2012-07-26
647,45.55463,2012-07-27
648,45.49379,2012-07-30
649,45.224327,2012-07-31
650,45.919685,2012-08-01
651,44.676735,2012-08-02
652,45.850159,2012-08-03
653,46.015289,2012-08-06
654,46.067455,2012-08-07
655,46.058754,2012-08-08
656,45.884914,2012-08-09
657,46.119602,2012-08-10
658,46.241283,2012-08-13
659,46.75412,2012-08-14
660,47.032265,2012-08-15
661,47.371258,2012-08-16
662,47.249554,2012-08-17
663,47.371258,2012-08-20
664,47.197399,2012-08-21
665,46.780201,2012-08-22
666,46.267357,2012-08-23
667,46.710651,2012-08-24
668,46.667191,2012-08-27
669,46.693279,2012-08-28
670,46.571583,2012-08-29
671,46.163052,2012-08-30
672,46.293434,2012-08-31
673,46.780201,2012-09-04
674,46.171741,2012-09-05
675,47.101788,2012-09-06
676,47.067036,2012-09-07
677,46.545506,2012-09-10
678,46.936634,2012-09-11
679,47.301704,2012-09-12
680,47.970989,2012-09-13
681,48.683731,2012-09-14
682,48.87495,2012-09-17
683,48.614197,2012-09-18
684,48.579433,2012-09-19
685,48.475124,2012-09-20
686,48.927109,2012-09-21
687,49.100941,2012-09-24
688,48.657669,2012-09-25
689,48.50322,2012-09-26
690,48.695187,2012-09-27
691,48.564293,2012-09-28
692,47.901169,2012-10-01
693,47.70052,2012-10-02
694,47.482376,2012-10-03
695,48.040802,2012-10-04
696,47.822647,2012-10-05
697,47.421288,2012-10-08
698,46.007824,2012-10-09
699,45.56284,2012-10-10
700,45.772243,2012-10-11
701,45.632648,2012-10-12
702,45.632648,2012-10-15
703,46.644753,2012-10-16
704,46.086349,2012-10-17
705,46.775639,2012-10-18
706,45.929295,2012-10-19
707,46.199783,2012-10-22
708,45.589012,2012-10-23
709,45.615189,2012-10-24
710,45.719891,2012-10-25
711,45.536659,2012-10-26
712,45.89439,2012-10-31
713,46.304474,2012-11-01
714,45.929295,2012-11-02
715,45.990364,2012-11-05
716,46.644753,2012-11-06
717,45.903103,2012-11-07
718,45.737339,2012-11-08
719,45.833317,2012-11-09
720,46.287018,2012-11-12
721,45.964211,2012-11-13
722,45.650093,2012-11-14
723,45.37088,2012-11-15
724,45.458126,2012-11-16
725,46.243401,2012-11-19
726,46.766903,2012-11-20
727,46.679665,2012-11-21
728,47.569611,2012-11-23
729,47.57835,2012-11-26
730,47.307873,2012-11-27
731,47.639416,2012-11-28
732,47.159546,2012-11-29
733,47.255524,2012-11-30
734,47.499817,2012-12-03
735,47.421288,2012-12-04
736,47.430019,2012-12-05
737,47.421288,2012-12-06
738,47.613247,2012-12-07
739,47.805195,2012-12-10
740,48.695187,2012-12-11
741,48.974377,2012-12-12
742,49.02673,2012-12-13
743,48.669006,2012-12-14
744,49.000568,2012-12-17
745,49.166325,2012-12-18
746,48.826046,2012-12-19
747,49.358284,2012-12-20
748,48.747536,2012-12-21
749,48.747536,2012-12-24
750,48.363621,2012-12-26
751,48.35923,2012-12-27
752,47.736782,2012-12-28
753,48.061157,2012-12-31
754,48.990463,2013-01-02
755,49.218403,2013-01-03
756,49.735664,2013-01-04
757,50.03373,2013-01-07
758,49.946075,2013-01-08
759,51.182251,2013-01-09
760,51.585503,2013-01-10
761,51.585503,2013-01-11
762,51.611809,2013-01-14
763,52.216759,2013-01-15
764,52.102779,2013-01-16
765,53.146065,2013-01-17
766,53.961391,2013-01-18
767,54.101681,2013-01-22
768,54.241947,2013-01-23
769,55.627148,2013-01-24
770,55.714809,2013-01-25
771,55.916458,2013-01-28
772,55.93399,2013-01-29
773,55.565781,2013-01-30
774,54.925774,2013-01-31
775,55.267696,2013-02-01
776,54.618938,2013-02-04
777,55.057285,2013-02-05
778,55.285236,2013-02-06
779,55.276459,2013-02-07
780,55.916458,2013-02-08
781,56.021664,2013-02-11
782,56.118107,2013-02-12
783,56.004131,2013-02-13
784,56.126858,2013-02-14
785,55.977837,2013-02-15
786,55.837563,2013-02-19
787,55.302761,2013-02-20
788,54.504955,2013-02-21
789,54.969612,2013-02-22
790,54.434837,2013-02-25
791,55.030983,2013-02-26
792,55.81126,2013-02-27
793,56.004131,2013-02-28
794,56.898373,2013-03-01
795,57.047409,2013-03-04
796,57.862743,2013-03-05
797,57.827698,2013-03-06
798,57.336731,2013-03-07
799,57.617275,2013-03-08
800,58.05563,2013-03-11
801,58.555363,2013-03-12
802,58.45892,2013-03-13
803,58.572906,2013-03-14
804,57.801376,2013-03-15
805,56.793159,2013-03-18
806,56.784397,2013-03-19
807,57.31044,2013-03-20
808,56.582764,2013-03-21
809,56.609055,2013-03-22
810,56.582764,2013-03-25
811,57.097744,2013-03-26
812,57.106556,2013-03-27
813,57.432274,2013-03-28
814,57.511501,2013-04-01
815,57.71397,2013-04-02
816,57.441082,2013-04-03
817,57.740383,2013-04-04
818,57.221001,2013-04-05
819,57.555515,2013-04-08
820,58.40062,2013-04-09
821,58.75275,2013-04-10
822,58.849606,2013-04-11
823,58.541489,2013-04-12
824,57.476284,2013-04-15
825,57.291431,2013-04-16
826,56.692799,2013-04-17
827,56.076576,2013-04-18
828,56.939301,2013-04-19
829,56.472721,2013-04-22
830,57.168175,2013-04-23
831,56.983318,2013-04-24
832,57.784405,2013-04-25
833,57.273811,2013-04-26
834,57.802006,2013-04-29
835,57.731579,2013-04-30
836,57.485096,2013-05-01
837,57.907646,2013-05-02
838,58.391823,2013-05-03
839,58.347813,2013-05-06
840,58.444633,2013-05-07
841,58.497467,2013-05-08
842,58.990448,2013-05-09
843,60.046822,2013-05-10
844,60.39016,2013-05-13
845,60.927147,2013-05-14
846,61.120808,2013-05-15
847,60.795105,2013-05-16
848,60.654255,2013-05-17
849,60.504616,2013-05-20
850,60.95356,2013-05-21
851,59.597866,2013-05-22
852,59.192921,2013-05-23
853,58.972832,2013-05-24
854,59.782753,2013-05-28
855,59.184124,2013-05-29
856,59.289749,2013-05-30
857,58.444633,2013-05-31
858,59.254536,2013-06-03
859,58.717545,2013-06-04
860,57.86364,2013-06-05
861,58.418232,2013-06-06
862,59.113689,2013-06-07
863,59.20171,2013-06-10
864,58.831989,2013-06-11
865,58.427025,2013-06-12
866,59.61544,2013-06-13
867,59.166531,2013-06-14
868,59.694706,2013-06-17
869,59.571449,2013-06-18
870,58.497467,2013-06-19
871,57.000912,2013-06-20
872,57.749191,2013-06-21
873,57.009708,2013-06-24
874,57.124161,2013-06-25
875,57.181602,2013-06-26
876,57.208122,2013-06-27
877,57.172794,2013-06-28
878,56.95179,2013-07-01
879,56.854546,2013-07-02
880,56.748482,2013-07-03
881,57.658932,2013-07-05
882,58.48983,2013-07-08
883,58.401451,2013-07-09
884,58.648945,2013-07-10
885,59.559399,2013-07-11
886,59.603577,2013-07-12
887,60.301884,2013-07-15
888,60.699665,2013-07-16
889,61.318432,2013-07-17
890,61.875286,2013-07-18
891,62.653137,2013-07-19
892,62.723854,2013-07-22
893,62.803436,2013-07-23
894,62.608963,2013-07-24
895,62.644318,2013-07-25
896,62.706184,2013-07-26
897,62.184662,2013-07-29
898,62.246559,2013-07-30
899,62.281891,2013-07-31
900,62.953671,2013-08-01
901,62.997902,2013-08-02
902,62.93602,2013-08-05
903,62.732716,2013-08-06
904,62.573612,2013-08-07
