Dates,AZN
2011-10-20,41.460545
2011-10-21,42.224823
2011-10-24,42.937592
2011-10-25,41.426186
2011-10-26,41.503483
2011-10-27,42.379391
2011-10-28,42.868874
2011-10-31,41.142784
2011-11-01,40.361328
2011-11-02,41.013977
2011-11-03,41.838371
2011-11-04,41.700977
2011-11-07,42.130371
2011-11-08,42.774418
2011-11-09,40.79071
2011-11-10,41.45195
2011-11-11,42.491032
2011-11-14,42.027302
2011-11-15,42.559734
2011-11-16,41.889908
2011-11-17,41.142784
2011-11-18,41.056915
2011-11-21,39.7001
2011-11-22,39.811722
2011-11-23,39.047436
2011-11-25,39.090385
2011-11-28,40.326981
2011-11-29,40.035011
2011-11-30,41.932846
2011-12-01,42.533974
2011-12-02,40.893764
2011-12-05,42.156116
2011-12-06,41.67524
2011-12-07,41.45195
2011-12-08,40.464382
2011-12-09,41.091278
2011-12-12,40.421444
2011-12-13,40.232517
2011-12-14,40.163811
2011-12-15,40.043598
2011-12-16,39.682915
2011-12-19,39.313641
2011-12-20,41.013977
2011-12-21,41.735329
2011-12-22,42.69714
2011-12-23,42.946171
2011-12-27,42.991867
2011-12-28,42.526173
2011-12-29,42.767654
2011-12-30,42.871136
2012-01-03,44.044037
2012-01-04,44.19928
2012-01-05,44.14753
2012-01-06,44.414886
2012-01-09,44.673611
2012-01-10,45.070324
2012-01-11,45.725765
2012-01-12,45.268681
2012-01-13,44.613255
2012-01-17,44.854725
2012-01-18,44.99271
2012-01-19,45.536045
2012-01-20,45.829258
2012-01-23,45.536045
2012-01-24,45.656784
2012-01-25,47.485119
2012-01-26,47.321259
2012-01-27,47.347122
2012-01-30,47.450611
2012-01-31,47.804214
2012-02-01,47.623112
2012-02-02,47.433376
2012-02-03,47.959457
2012-02-06,48.0112
2012-02-07,47.588612
2012-02-08,47.217766
2012-02-09,46.536457
2012-02-10,46.174229
2012-02-13,46.458843
2012-02-14,46.156975
2012-02-15,46.208729
2012-02-16,46.269108
2012-02-17,46.225967
2012-02-21,45.993118
2012-02-22,46.087994
2012-02-23,46.501949
2012-02-24,47.243637
2012-02-27,47.398869
2012-02-28,47.053917
2012-02-29,46.260483
2012-03-01,45.829258
2012-03-02,45.889637
2012-03-05,45.536045
2012-03-06,44.871971
2012-03-07,44.889202
2012-03-08,45.510162
2012-03-09,45.622276
2012-03-12,45.191063
2012-03-13,45.993118
2012-03-14,46.769299
2012-03-15,47.433376
2012-03-16,47.347122
2012-03-19,47.390255
2012-03-20,47.278137
2012-03-21,47.304016
2012-03-22,46.760685
2012-03-23,46.950413
2012-03-26,47.873207
2012-03-27,47.726593
2012-03-28,47.659927
2012-03-29,47.685913
2012-03-30,48.032211
2012-04-02,48.092804
2012-04-03,48.118778
2012-04-04,47.417522
2012-04-05,47.642616
2012-04-09,46.880749
2012-04-10,45.980366
2012-04-11,46.603718
2012-04-12,47.49543
2012-04-13,46.716259
2012-04-16,46.958675
2012-04-17,47.521423
2012-04-18,48.014893
2012-04-19,47.062557
2012-04-20,46.690296
2012-04-23,45.625408
2012-04-24,46.023659
2012-04-25,46.473839
2012-04-26,46.80283
2012-04-27,47.235718
2012-04-30,47.244358
